# PNIPAM (poly(N-isopropylacrylamide)) brush, hydrated/swollen state
# Tabulated n,k measured by spectroscopic ellipsometry
# Source: refnx/refellips (github.com/refnx/refellips), materials/pnipam.csv, MIT-licensed
# Real measured optical constants -- not a fitted analytic model
wavelength_nm,n,k
664.9120,1.500161,0.002142
666.4950,1.500113,0.002137
668.0770,1.500064,0.002133
669.6600,1.500017,0.002128
671.2420,1.499969,0.002124
672.8240,1.499922,0.00212
674.4050,1.499875,0.002116
675.9870,1.499829,0.002111
677.5690,1.499783,0.002107
679.1500,1.499737,0.002103
680.7310,1.499692,0.002099
682.3130,1.499647,0.002095
683.8930,1.499603,0.00209
685.4740,1.499558,0.002086
687.0550,1.499515,0.002082
688.6360,1.499471,0.002078
690.2160,1.499428,0.002074
691.7960,1.499385,0.00207
693.3760,1.499343,0.002066
694.9560,1.499300,0.002062
696.5360,1.499259,0.002059
698.1160,1.499217,0.002055
699.6950,1.499176,0.002051
701.2750,1.499135,0.002047
702.8540,1.499094,0.002043
704.4330,1.499054,0.002039
706.0120,1.499014,0.002036
707.5910,1.498974,0.002032
709.1700,1.498935,0.002028
710.7480,1.498896,0.002025
712.3260,1.498857,0.002021
713.9050,1.498818,0.002017
715.4830,1.498780,0.002014
717.0610,1.498742,0.00201
718.6380,1.498704,0.002007
720.2160,1.498667,0.002003
721.7930,1.498630,0.002
723.3710,1.498593,0.001996
724.9480,1.498556,0.001993
726.5250,1.498520,0.001989
728.1010,1.498484,0.001986
729.6780,1.498448,0.001982
731.2550,1.498413,0.001979
732.8310,1.498377,0.001975
734.4070,1.498342,0.001972
735.9830,1.498308,0.001969
737.5590,1.498273,0.001965
739.1350,1.498239,0.001962
740.7100,1.498205,0.001959
742.2860,1.498171,0.001956
743.8610,1.498137,0.001952
745.4360,1.498104,0.001949
747.0110,1.498071,0.001946
748.5850,1.498038,0.001943
750.1600,1.498006,0.00194
751.7340,1.497973,0.001937
753.3080,1.497941,0.001933
754.8830,1.497909,0.00193
756.4560,1.497877,0.001927
758.0300,1.497846,0.001924
759.6040,1.497815,0.001921
761.1770,1.497783,0.001918
762.7500,1.497753,0.001915
764.3230,1.497722,0.001912
765.8960,1.497692,0.001909
767.4690,1.497661,0.001906
769.0420,1.497631,0.001903
770.6140,1.497601,0.0019
772.1860,1.497572,0.001897
773.7580,1.497542,0.001895
775.3300,1.497513,0.001892
776.9020,1.497484,0.001889
778.4730,1.497455,0.001886
780.0450,1.497427,0.001883
781.6160,1.497398,0.00188
783.1870,1.497370,0.001878
784.7580,1.497342,0.001875
786.3280,1.497314,0.001872
787.8990,1.497286,0.001869
789.4690,1.497259,0.001867
791.0390,1.497232,0.001864
792.6090,1.497204,0.001861
794.1790,1.497177,0.001858
795.7480,1.497151,0.001856
797.3180,1.497124,0.001853
798.8870,1.497098,0.00185
800.4560,1.497071,0.001848
802.0250,1.497045,0.001845
803.5930,1.497019,0.001843
805.1620,1.496994,0.00184
806.7300,1.496968,0.001837
808.2980,1.496943,0.001835
809.8660,1.496917,0.001832
811.4340,1.496892,0.00183
813.0010,1.496867,0.001827
814.5690,1.496843,0.001825
816.1360,1.496818,0.001822
817.7030,1.496793,0.00182
819.2700,1.496769,0.001817
820.8360,1.496745,0.001815
822.4030,1.496721,0.001812
823.9690,1.496697,0.00181
825.5350,1.496673,0.001808
827.1010,1.496650,0.001805
828.6670,1.496626,0.001803
830.2320,1.496603,0.0018
831.7980,1.496580,0.001798
833.3630,1.496557,0.001796
834.9280,1.496534,0.001793
836.4920,1.496511,0.001791
838.0570,1.496489,0.001789
839.6210,1.496467,0.001786
841.1850,1.496444,0.001784
842.7490,1.496422,0.001782
844.3130,1.496400,0.00178
845.8770,1.496378,0.001777
847.4400,1.496356,0.001775
849.0030,1.496335,0.001773
850.5660,1.496313,0.001771
852.1290,1.496292,0.001768
853.6910,1.496271,0.001766
855.2540,1.496250,0.001764
856.8160,1.496229,0.001762
858.3780,1.496208,0.00176
859.9400,1.496187,0.001758
861.5010,1.496167,0.001755
863.0630,1.496146,0.001753
864.6240,1.496126,0.001751
866.1850,1.496106,0.001749
867.7450,1.496086,0.001747
869.3060,1.496065,0.001745
870.8660,1.496046,0.001743
872.4260,1.496026,0.001741
873.9860,1.496006,0.001739
